City,Latitude,Longitude,Max Temp(F),Humidity(%),Cloudiness(%),Wind Speed (mph),Country,Date
George Town,5.4112,100.3354,84.13,82,20,3.44,MY,1666192832
Semporna,4.4818,118.6112,78.71,85,100,4.36,MY,1666193026
Yuganets,56.2508,43.2307,42.69,86,100,2.13,RU,1666193026
Alice Springs,-23.7,133.8833,62.15,72,0,5.75,AU,1666193027
Havøysund,70.9963,24.6622,41.23,79,100,27.89,NO,1666193027
Japura,-0.3167,102.35,75.38,94,80,1.48,ID,1666193029
Vermillion,42.7794,-96.9292,34.72,16,53,3.38,US,1666193030
Yar-Sale,66.8333,70.8333,37.71,95,100,15.35,RU,1666193030
Marawi,7.9986,124.2928,70.25,94,99,2.73,PH,1666193031
Nipawin,53.3668,-104.0009,44.64,76,0,3.44,CA,1666193032
Barrow,71.2906,-156.7887,21.22,93,100,8.05,US,1666192935
Port Elizabeth,-33.918,25.5701,74.32,86,20,12.66,ZA,1666193032
Omsukchan,62.5333,155.8,6.64,95,100,6.8,RU,1666193033
Levice,48.2156,18.6071,61.5,52,0,11.16,SK,1666193033
Yellowknife,62.456,-114.3525,39.72,93,75,16.11,CA,1666192742
Port Alfred,-33.5906,26.891,73.18,86,6,5.01,ZA,1666193034
Bontang,0.1333,117.5,78.64,88,100,2.77,ID,1666193034
Longyearbyen,78.2186,15.6401,22.84,68,40,25.32,SJ,1666193034
Severo-Kuril'sk,50.6789,156.125,39.38,70,85,33.2,RU,1666193035
Rosarito,32.3333,-117.0333,81.52,44,60,7.4,MX,1666193035
Andros Town,24.7,-77.7667,82.36,66,95,12.77,BS,1666193035
Tiksi,71.6872,128.8694,20.23,80,100,15.9,RU,1666193036
Nchelenge,-9.3451,28.734,85.17,38,44,8.57,ZM,1666193037
Cayenne,4.9333,-52.3333,87.84,66,75,10.36,GF,1666193037
Dudinka,69.4058,86.1778,34.63,98,100,18.57,RU,1666193039
Walvis Bay,-22.9575,14.5053,67.15,68,0,10.36,NA,1666193039
Kenda,23.2,86.5333,76.96,72,90,1.99,IN,1666193040
Selty,57.3132,52.1345,40.19,82,100,3.6,RU,1666193040
Sungai Penuh,-2.0833,101.3833,65.39,93,100,1.59,ID,1666193040
Dajal,29.5577,70.3762,83.75,15,3,9.95,PK,1666193041
Cabo San Lucas,22.8909,-109.9124,79.05,78,0,0.0,MX,1666192984
Vung Tau,10.346,107.0843,79.61,85,91,13.24,VN,1666193041
Nocupétaro,19.05,-101.15,70.97,88,99,0.11,MX,1666193042
Bethel,41.3712,-73.414,51.55,62,0,11.5,US,1666193042
Yeppoon,-23.1333,150.7333,71.38,90,100,5.26,AU,1666193043
Murakami,38.2333,139.4833,52.97,64,98,1.05,JP,1666193044
Saint George,37.1041,-113.5841,55.99,38,0,3.44,US,1666193044
Abu Dhabi,24.4667,54.3667,89.71,62,0,8.05,AE,1666192980
Asău,46.4333,26.4,54.52,74,82,2.95,RO,1666193045
Tamboril,19.4854,-70.611,84.97,74,40,9.22,DO,1666193045
Ostrovnoy,68.0531,39.5131,35.58,96,100,21.39,RU,1666193045
Port Hawkesbury,45.6169,-61.3485,62.91,99,100,17.27,CA,1666193046
Muroto-misakicho,33.2833,134.15,64.53,61,7,15.14,JP,1666193046
Lesnoy,57.6198,63.0784,40.62,87,100,6.26,RU,1666193046
Merauke,-8.4667,140.3333,77.72,84,100,5.39,ID,1666193047
Gayéri,12.6497,0.4931,96.85,18,49,4.63,BF,1666193047
Fairview,40.8126,-73.999,52.56,51,0,18.41,US,1666193048
Kaitangata,-46.2817,169.8464,42.31,71,79,7.27,NZ,1666193048
Stornoway,58.2093,-6.3865,51.93,75,20,16.11,GB,1666193049
Tyret’ Pervaya,53.6703,102.3106,35.78,97,100,7.14,RU,1666193049
Klaksvík,62.2266,-6.589,43.72,69,8,6.93,FO,1666193049
Sarangani,5.4033,125.4636,83.3,78,71,9.48,PH,1666193050
Kapaa,22.0752,-159.319,75.18,83,100,4.61,US,1666193050
Øksfjord,70.2396,22.3479,41.07,88,100,17.76,NO,1666193050
Ndélé,8.4109,20.6473,82.89,63,81,4.29,CF,1666193051
Young,-32.6833,-57.6333,73.81,59,82,11.34,UY,1666193051
Kruisfontein,-34.0033,24.7314,76.84,64,34,9.13,ZA,1666193051
Alekseyevsk,57.8406,108.3492,31.32,96,100,3.47,RU,1666193052
Dhaka,23.7104,90.4074,84.18,61,40,6.91,BD,1666193052
Erenhot,43.6475,111.9767,54.01,39,74,12.75,CN,1666193053
Saurimo,-9.6608,20.3916,89.92,40,40,0.0,AO,1666193053
Leningradskiy,69.3833,178.4167,26.44,87,100,24.43,RU,1666193053
Ponta do Sol,32.6667,-17.1,78.71,66,96,9.62,PT,1666193054
Sekoma,-24.4,23.8833,84.04,27,79,4.81,BW,1666193054
Vardø,70.3705,31.1107,39.18,81,40,37.98,NO,1666193054
Busselton,-33.65,115.3333,55.65,89,22,5.64,AU,1666193055
Coquimbo,-29.9533,-71.3436,62.33,63,20,11.5,CL,1666193055
Sungai Raya,0.7,108.9,79.07,85,100,1.43,ID,1666193055
Ken Caryl,39.5773,-105.1169,62.65,28,0,8.99,US,1666193018
Naze,28.3667,129.4833,70.72,63,28,18.45,JP,1666193056
Chifeng,42.2683,118.9636,49.14,27,2,6.96,CN,1666193056
Lüderitz,-26.6481,15.1594,64.45,79,43,17.52,NA,1666193056
Hailar,49.2,119.7,36.7,53,51,7.83,CN,1666193057
Beringovskiy,63.05,179.3167,36.9,86,60,6.85,RU,1666193057
Çermik,38.1361,39.4493,72.43,36,7,7.25,TR,1666193058
Morón,-34.6534,-58.6198,72.95,77,75,10.27,AR,1666193058
Killybegs,54.6333,-8.45,53.31,90,100,22.01,IE,1666193059
Kapit,2.0167,112.9333,74.16,99,100,0.47,MY,1666193059
Hong Kong,22.2855,114.1577,77.05,73,95,5.01,HK,1666193056
Paamiut,61.994,-49.6678,35.37,91,100,15.57,GL,1666193059
San Quintín,30.4833,-115.95,71.49,67,5,1.41,MX,1666193060
Belyy Yar,53.6039,91.3903,40.89,77,40,8.95,RU,1666193060
Taltal,-25.4,-70.4833,63.68,65,7,7.31,CL,1666193060
Reconquista,-29.15,-59.65,81.21,45,66,5.17,AR,1666193065
Vershino-Darasunskiy,52.35,115.5167,30.65,66,65,5.35,RU,1666193065
Ribeira Grande,38.5167,-28.7,68.4,73,75,24.16,PT,1666193066
Acaraú,-2.8856,-40.12,89.04,56,92,20.13,BR,1666193027
Vostok,46.4856,135.8833,28.47,74,15,5.88,RU,1666193066
Esperance,-33.8667,121.9,64.13,56,0,18.61,AU,1666192857
Zhuhai,22.2769,113.5678,76.78,64,20,11.5,CN,1666193066
Solnechnyy,50.7214,136.6319,35.24,65,74,2.55,RU,1666193067
Waingapu,-9.6567,120.2641,81.75,78,95,3.56,ID,1666193067
Abhā,18.2164,42.5053,73.22,72,40,11.5,SA,1666192978
Saint-Leu,-21.15,55.2833,70.66,78,47,13.38,RE,1666192791
Norman Wells,65.282,-126.8329,26.64,100,75,6.91,CA,1666193068
Barabai,-2.5833,115.3833,75.74,95,100,0.78,ID,1666193069
Mount Darwin,-16.7725,31.5838,86.85,16,37,8.86,ZW,1666193070
Puri,19.8,85.85,82.92,77,27,9.06,IN,1666193070
Thompson,55.7435,-97.8558,35.76,75,75,6.91,CA,1666193071
Bonthe,7.5264,-12.505,82.06,75,45,9.19,SL,1666193071
Bhūm,18.4667,75.6667,76.21,78,46,8.16,IN,1666193071
De Aar,-30.6497,24.0123,80.01,32,91,11.23,ZA,1666193072
Khandagayty,50.7333,92.05,32.11,60,96,7.47,RU,1666193072
Clyde River,70.4692,-68.5914,12.43,67,20,5.75,CA,1666193072
Richards Bay,-28.783,32.0377,77.4,66,38,14.61,ZA,1666193073
Anadyr,64.75,177.4833,36.1,93,75,15.66,RU,1666193073
Tambilil,5.9622,124.6697,80.08,85,85,3.76,PH,1666193073
Ponnāni,10.767,75.9252,76.32,88,81,2.84,IN,1666193073
Port Hedland,-20.3167,118.5667,71.65,56,0,5.75,AU,1666193074
Uyemskiy,64.4743,40.8524,39.25,86,100,13.42,RU,1666193074
Camargo,27.6667,-105.1667,56.79,72,100,3.51,MX,1666193074
Airai,-8.9266,125.4092,64.18,88,100,0.87,TL,1666193075
Saint Paul Harbor,57.79,-152.4072,42.31,65,40,6.91,US,1666193075
Jiazi,22.8779,116.067,69.76,65,99,22.3,CN,1666193075
Wewak,-3.5534,143.6268,78.64,86,100,4.14,PG,1666193076
Ocampo,21.65,-101.5,53.29,80,100,10.83,MX,1666193076
Khovd,48.0056,91.6419,35.74,69,65,4.92,MN,1666193076
Brae,60.3964,-1.353,45.61,61,71,2.26,GB,1666193077
Pitimbu,-7.4706,-34.8086,84.79,64,16,17.0,BR,1666193077
Carutapera,-1.195,-46.02,88.99,56,98,12.53,BR,1666193077
Samaná,19.2056,-69.3369,85.96,74,40,6.91,DO,1666193078
Puerto Carreño,6.189,-67.4859,89.58,62,20,6.91,CO,1666193078
Banda Aceh,5.5577,95.3222,79.56,79,100,15.1,ID,1666193078
Saint-Augustin,51.226,-58.6502,54.77,71,54,14.56,CA,1666193079
Yicheng,31.3705,119.8703,57.97,64,1,10.6,CN,1666193079
Mikun',62.3547,50.0771,36.25,89,99,7.58,RU,1666193079
Paita,-5.0892,-81.1144,66.79,71,98,10.98,PE,1666193079
Souillac,-20.5167,57.5167,71.98,78,40,9.22,MU,1666193080
Erciş,39.0287,43.3586,63.03,42,37,13.04,TR,1666193080
Burnie,-41.0667,145.9167,51.94,79,7,6.71,AU,1666193080
Kalashnikovo,57.2824,35.2262,42.26,85,100,4.32,RU,1666193081
Corinth,37.9407,22.9573,70.9,35,0,1.43,GR,1666193081
Katsuura,35.1333,140.3,60.39,66,91,15.37,JP,1666193081
Tuktoyaktuk,69.4541,-133.0374,24.8,93,100,6.91,CA,1666193082
Ivanteyevka,55.9711,37.9208,45.14,81,98,4.85,RU,1666193082
Te Anau,-45.4167,167.7167,39.65,90,100,4.97,NZ,1666193083
Flin Flon,54.7682,-101.865,42.64,81,75,4.61,CA,1666193083
Belle Fourche,44.6714,-103.8522,65.08,33,45,11.86,US,1666193084
Cherskiy,68.75,161.3,15.84,93,100,6.29,RU,1666193084
Eirunepé,-6.6603,-69.8736,89.44,53,50,0.89,BR,1666193085
Skellefteå,64.7507,20.9528,45.0,86,0,12.66,SE,1666193085
Chui,-33.6971,-53.4616,67.01,77,84,11.52,UY,1666193085
Yaan,7.3833,8.5667,86.94,62,73,1.97,NG,1666193086
Muisne,0.6,-80.0333,75.56,80,100,9.4,EC,1666193087
Sehithwa,-20.4667,22.7167,86.25,25,100,2.39,BW,1666193087
Mount Isa,-20.7333,139.5,74.97,64,0,6.91,AU,1666193087
Sharan,54.8167,54.0,42.75,87,100,5.23,RU,1666193089
Guilin,25.2819,110.2864,66.31,22,94,4.54,CN,1666193089
Codrington,-38.2667,141.9667,50.85,92,0,6.58,AU,1666193090
Belmonte,-15.8631,-38.8828,80.46,62,19,7.67,BR,1666193091
Paphos,34.7667,32.4167,74.98,78,75,18.41,CY,1666193091
Makakilo City,21.3469,-158.0858,71.98,81,0,5.75,US,1666193091
Natá,8.3333,-80.5167,80.47,73,98,0.89,PA,1666193092
Iqaluit,63.7506,-68.5145,22.73,63,20,3.44,CA,1666193092
Ayagoz,47.9714,80.4392,41.25,51,100,5.26,KZ,1666193092
Kaduqli,11.0167,29.7167,88.05,47,33,6.13,SD,1666193093
Lebu,-37.6167,-73.65,56.39,76,73,6.42,CL,1666193093
Chara,56.9064,118.2631,27.57,78,98,3.15,RU,1666193093
Ciudad Real,39.0,-4.0,80.65,33,100,8.01,ES,1666193094
Taoudenni,22.6783,-3.9836,97.93,11,100,6.87,ML,1666193094
Pangnirtung,66.1451,-65.7125,23.0,54,20,13.8,CA,1666193094
Nagato,34.3833,131.2,59.4,64,2,10.45,JP,1666193095
Rayachoti,14.05,78.75,77.16,77,99,3.74,IN,1666193095
Pljevlja,43.3333,19.3333,60.98,58,0,4.65,ME,1666193095
San Luis de la Paz,21.3,-100.5167,56.7,93,100,6.98,MX,1666193096
São João da Barra,-21.6403,-41.0511,82.49,75,43,18.97,BR,1666193096
Mnogovershinnyy,53.9353,139.9242,29.03,83,11,8.79,RU,1666193096
Peniche,39.3558,-9.3811,67.1,82,100,19.15,PT,1666192971
Salalah,17.0151,54.0924,82.49,54,0,4.61,OM,1666193097
Port Blair,11.6667,92.75,80.82,78,100,12.84,IN,1666193097
San Vicente,-26.6167,-54.1333,73.08,81,82,3.02,AR,1666193098
Isla Mujeres,21.2311,-86.731,77.05,83,96,15.12,MX,1666193098
Wacheng,33.7833,114.5167,55.29,39,1,7.31,CN,1666193098
Ishigaki,24.3448,124.1572,77.13,69,100,24.16,JP,1666193099
Villa María,-32.4075,-63.2402,61.83,95,86,6.98,AR,1666193099
Castro,-24.7911,-50.0119,73.71,67,45,6.93,BR,1666192833
Fes,34.0372,-4.9998,91.65,18,40,5.75,MA,1666193099
Bekkevoort,50.9336,4.9667,61.18,72,100,6.91,BE,1666193100
Tilichiki,60.4667,166.1,25.16,88,89,5.7,RU,1666193100
Mossamedes,-15.1961,12.1522,75.83,69,75,17.27,AO,1666193100
Kasungu,-13.0333,33.4833,82.11,30,54,13.98,MW,1666193101
Sechura,-5.5569,-80.8222,68.22,65,96,11.12,PE,1666192933
São Filipe,14.8961,-24.4956,80.44,78,38,5.64,CV,1666193101
Sirte,31.2089,16.5887,73.36,55,1,9.15,LY,1666193102
Mahébourg,-20.4081,57.7,71.89,78,40,9.22,MU,1666193102
Dunedin,-45.8742,170.5036,42.8,76,61,1.99,NZ,1666193102
Quatre Cocos,-20.2078,57.7625,71.71,77,66,14.41,MU,1666193103
Porto Walter,-8.2686,-72.7439,90.72,47,88,3.4,BR,1666193103
Sola,-13.8833,167.55,80.92,78,30,18.34,VU,1666193103
Nanortalik,60.1432,-45.2371,38.88,99,100,18.28,GL,1666193104
Itarema,-2.9248,-39.9167,88.75,55,95,19.93,BR,1666193104
Hof,50.3167,11.9167,55.45,77,20,9.22,DE,1666193104
Areia Branca,-4.9561,-37.1369,98.8,52,75,17.69,BR,1666193105
Masumbwe,-3.6333,32.1833,75.74,55,94,6.8,TZ,1666193105
Noshiro,40.2039,140.0242,53.65,59,35,11.3,JP,1666193106
Thinadhoo,0.5333,72.9333,81.9,73,100,9.08,MV,1666193106
Isoka,-10.1606,32.6335,84.96,14,72,7.27,ZM,1666193106
Alofi,-19.0595,-169.9187,73.29,100,36,2.3,NU,1666193107
Hamilton,39.1834,-84.5333,47.73,61,40,13.8,US,1666193087
Tefé,-3.3542,-64.7114,75.31,100,75,4.61,BR,1666193107
Tabas,33.5959,56.9244,79.02,22,0,4.61,IR,1666193108
Dickinson,29.4608,-95.0513,59.16,47,0,9.22,US,1666192847
Marsaxlokk,35.8419,14.5431,75.07,68,40,4.61,MT,1666193108
Firovo,57.4814,33.7021,41.05,93,100,7.54,RU,1666193108
Rawson,-43.3002,-65.1023,75.11,25,11,10.27,AR,1666193109
Chu,43.5983,73.7614,49.21,57,100,6.71,KZ,1666193109
Bambous Virieux,-20.3428,57.7575,71.85,78,40,9.22,MU,1666193109
São Joaquim,-28.2939,-49.9317,58.78,93,100,3.29,BR,1666193110
Morant Bay,17.8815,-76.4093,87.42,70,29,5.97,JM,1666193110
Chebsara,59.2002,38.8356,34.93,85,83,4.59,RU,1666193110
Mendi,-6.1761,143.6513,56.79,99,100,1.92,PG,1666193111
Slave Lake,55.2834,-114.769,33.78,93,0,9.22,CA,1666193111
Comodoro Rivadavia,-45.8667,-67.5,69.66,40,0,27.63,AR,1666193111
Rincon,32.296,-81.2354,55.85,41,20,10.36,US,1666193112
Mucuri,-18.0864,-39.5508,78.69,69,68,12.37,BR,1666193112
Medvedevo,56.6339,47.804,39.67,82,100,3.91,RU,1666193113
Karlskoga,59.3267,14.5239,47.52,67,50,5.19,SE,1666192932
Issenye,-2.0,34.3333,78.8,47,89,2.93,TZ,1666193113
Grindavik,63.8424,-22.4338,43.27,87,100,12.66,IS,1666193113
Basoko,1.2391,23.616,78.85,75,96,0.98,CD,1666193114
Ancud,-41.8697,-73.8203,63.23,80,54,6.6,CL,1666193114
Koumac,-20.5667,164.2833,72.81,80,75,4.41,NC,1666193114
Lashio,22.9333,97.75,65.48,84,21,1.14,MM,1666193115
Carnarvon,-24.8667,113.6333,67.35,80,0,15.05,AU,1666193115
Esim,4.8699,-2.2405,82.35,71,62,10.18,GH,1666193115
Konstantinovka,49.6167,127.9833,41.76,34,73,11.68,RU,1666193116
Wencheng,33.0559,113.7978,56.53,39,87,4.79,CN,1666193116
Oranjestad,12.524,-70.027,87.75,62,20,17.27,AW,1666192847
Itoman,26.1247,127.6694,75.22,72,100,19.57,JP,1666193117
Nouadhibou,20.931,-17.0347,85.98,45,1,13.8,MR,1666193117
Vágur,61.4732,-6.8119,45.3,73,25,8.7,FO,1666193117
Taksimo,56.3444,114.8794,27.99,91,99,2.75,RU,1666193118
Bestöbe,52.4994,73.0975,47.79,43,100,16.02,KZ,1666193118
Vilyuysk,63.7553,121.6247,22.64,93,98,8.25,RU,1666193119
Atar,20.5169,-13.0499,101.37,8,66,9.1,MR,1666193120
Saldanha,-33.0117,17.9442,71.65,85,40,13.04,ZA,1666193120
Hobyo,5.3505,48.5268,79.05,79,66,17.87,SO,1666193120
Moroni,-11.7022,43.2551,80.6,65,75,8.05,KM,1666193121
Campos Sales,-7.0744,-40.3761,88.05,34,88,9.55,BR,1666193121
Tiznit Province,29.5833,-9.5,89.08,16,84,7.09,MA,1666193121
Palera,25.0167,79.2333,73.63,57,0,4.59,IN,1666193122
Kralendijk,12.15,-68.2667,87.78,70,75,16.11,BQ,1666193122
Taitung City,22.7583,121.1444,71.24,80,70,16.49,TW,1666192933
Muros,42.7762,-9.0603,63.84,79,20,16.75,ES,1666193122
Mayo,38.8876,-76.5119,54.34,53,0,8.01,US,1666193123
Östersund,63.1792,14.6357,43.25,75,100,20.71,SE,1666193124
Samarai,-10.6167,150.6667,81.88,80,49,13.24,PG,1666192995
Fort Smith,35.3859,-94.3986,48.18,45,0,4.61,US,1666193125
Sisimiut,66.9395,-53.6735,28.33,69,100,13.67,GL,1666193125
Boyuibe,-20.4167,-63.2833,63.46,94,100,2.01,BO,1666193125
Ibadan,7.3878,3.8964,87.69,55,33,2.68,NG,1666193126
Jinchang,38.4953,102.1739,56.07,30,100,6.49,CN,1666193127
Guarujá,-23.9931,-46.2564,71.46,94,100,8.05,BR,1666193127
Port Augusta,-32.5,137.7667,62.06,77,100,10.25,AU,1666193128
Oodweyne,9.4092,45.064,84.54,26,33,3.33,SO,1666193128
Quixeramobim,-5.1992,-39.2928,95.2,30,17,9.17,BR,1666193129
Natal,-5.795,-35.2094,86.65,54,40,20.71,BR,1666193054
Am Timan,11.0297,20.2827,92.14,37,87,4.36,TD,1666193129
Labuhan,-6.8844,112.2051,80.69,80,100,1.79,ID,1666193129
Gamba,-2.65,10.0,79.77,78,90,10.04,GA,1666193130
Nola,40.922,14.5329,75.65,65,0,3.31,IT,1666193131
Massaguet,12.4755,15.4365,97.83,15,6,9.37,TD,1666193131
Qiongshan,20.0058,110.3542,73.38,100,75,20.13,CN,1666193131
Mahibadhoo,3.7833,72.9667,81.93,75,99,13.73,MV,1666193132
Palana,59.1167,159.9667,22.96,80,100,11.3,RU,1666193133
Balyqshy,47.0667,51.8667,53.6,87,9,11.18,KZ,1666193133
Haines Junction,60.7522,-137.5108,33.75,93,100,1.14,CA,1666193133
Joshīmath,30.5667,79.5667,51.73,79,58,3.58,IN,1666193134
Mizdah,31.4451,12.9801,74.82,34,22,12.01,LY,1666193134
Binzhou,37.3667,118.0167,53.98,35,12,7.63,CN,1666193134
Deputatsky,69.3,139.9,-7.89,90,15,4.27,RU,1666193135
Qandala,11.472,49.8728,82.0,59,3,3.83,SO,1666193135
Mumford,5.2618,-0.759,81.64,74,32,13.58,GH,1666193135
Geraldton,-28.7667,114.6,63.01,82,75,5.75,AU,1666193136
Beloha,-25.1667,45.05,70.99,78,6,21.99,MG,1666193137
